title,published_at,source_name,sentiment,predicted_change_percent,actual_change_percent,accuracy_grade,sentiment_score,prediction_accuracy,reasoning,actual_price_usd,url,raw_article_json
Could Solana Hit $500 Before 2026?,2025-08-01 09:50:00+00:00,finance.yahoo.com,bullish,5.2,-1.35,D,0.75,0.3,Price target speculation and ecosystem growth,170.09,https://finance.yahoo.com/news/could-solana-hit-500-2026-095000454.html,"{""uuid"": ""84b02d16-888e-4e79-9e84-61662c2fb1d8"", ""title"": ""Could Solana Hit $500 Before 2026?"", ""description"": ""It's more likely than it sounds."", ""keywords"": ""Solana, asset managers"", ""snippet"": ""Key Points\n\nSolana is currently experiencing ecosystem-related inflows to its chain.\n\nNew financial vehicles for investing in it are likely to be approved soon...."", ""url"": ""https://finance.yahoo.com/news/could-solana-hit-500-2026-095000454.html"", ""image_url"": ""https://s.yimg.com/ny/api/res/1.2/YnSZQJBONCpdl8BknA_arg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTc-/https://media.zenfs.com/en/motleyfool.com/9423221c312a1c66fe5912fde6fe797e"", ""language"": ""en"", ""published_at"": ""2025-08-01T09:50:00.000000Z"", ""source"": ""finance.yahoo.com"", ""categories"": [""business"", ""general""], ""relevance_score"": 23.897991}"
Cboe BZX Seeks Regulatory Nod for Invesco Galaxy's Solana ETF,2025-07-31 05:21:58+00:00,decrypt.co,bullish,8.5,-2.97,F,0.85,0.0,ETF filing signals major institutional adoption potential,172.42,https://decrypt.co/332875/cboe-bzx-seeks-regulatory-nod-for-invesco-galaxys-solana-etf,"{""uuid"": ""146fe6b2-0a1c-4e2e-80d6-6f97498b6e11"", ""title"": ""Cboe BZX Seeks Regulatory Nod for Invesco Galaxy's Solana ETF"", ""description"": ""Cboe BZX filed to list a Solana ETF on Wednesday, advancing a second U.S. staking-enabled fund even as the SEC delays on similar products."", ""keywords"": """", ""snippet"": ""Create an account to save your articles.\n\nCreate an account to save your articles.\n\nIn brief Cboe BZX has filed with the SEC to list the Invesco Galaxy Solana E..."", ""url"": ""https://decrypt.co/332875/cboe-bzx-seeks-regulatory-nod-for-invesco-galaxys-solana-etf"", ""image_url"": ""https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2025/06/SecuritiesExchange_logo-gID_7.png"", ""language"": ""en"", ""published_at"": ""2025-07-31T05:21:58.000000Z"", ""source"": ""decrypt.co"", ""categories"": [""tech""], ""relevance_score"": 22.569637}"
PumpSwap captures 74% of Solana DEX volume as memecoins surge,2025-07-30 22:15:10+00:00,cryptoslate.com,neutral,1.5,-2.01,C,0.1,0.5,"DEX volume surge is speculative, not fundamental",177.69,https://cryptoslate.com/pumpswap-captures-74-of-solana-dex-volume-as-memecoins-surge/,"{""uuid"": ""7752b21c-24c7-4dde-abe2-2c7137d42747"", ""title"": ""PumpSwap captures 74% of Solana DEX volume as memecoins surge"", ""description"": ""Solana\u2019s latest DEX data shows pumpswap now processes 74% of all volume, overtaking Raydium thanks to its focus on memecoins."", ""keywords"": """", ""snippet"": ""What is CryptoSlate Alpha? CryptoSlate Alpha requires a one-time purchase of our membership NFT using SOL, the native token of Solana. Connecting your Solana wa..."", ""url"": ""https://cryptoslate.com/pumpswap-captures-74-of-solana-dex-volume-as-memecoins-surge/"", ""image_url"": ""https://cryptoslate.com/wp-content/uploads/2025/07/solana-dex-.jpg"", ""language"": ""en"", ""published_at"": ""2025-07-30T22:15:10.000000Z"", ""source"": ""cryptoslate.com"", ""categories"": [], ""relevance_score"": 21.0261}"
Crypto Community Blasts Solana Founder Over This Meme Coin/NFT Comment,2025-07-29 15:00:27+00:00,newsbtc.com,bearish,-3.5,-0.66,B,-0.6,0.7,Founder backlash creates negative sentiment and uncertainty,181.34,https://www.newsbtc.com/news/solana/solana-founder-recieve-backlash/,"{""uuid"": ""3c319703-64b4-4a05-ba37-e6ba7eca2b4b"", ""title"": ""Crypto Community Blasts Solana Founder Over This Meme Coin/NFT Comment"", ""description"": ""Solana co-founder Anatoly Yakovenko is facing backlash from the crypto community over his comments about meme coins and non-fungible tokens."", ""keywords"": """", ""snippet"": ""Solana co-founder Anatoly Yakovenko is facing backlash from the crypto community over his comments about meme coins and non-fungible tokens (NFTs). Yakovenko ma..."", ""url"": ""https://www.newsbtc.com/news/solana/solana-founder-recieve-backlash/"", ""image_url"": ""https://www.newsbtc.com/wp-content/uploads/2025/07/Solana-from-Adobe-Stock.jpg?fit=630%2C360"", ""language"": ""en"", ""published_at"": ""2025-07-29T15:00:27.000000Z"", ""source"": ""newsbtc.com"", ""categories"": [], ""relevance_score"": 22.635406}"
OdinBot Review: Solana Copy Trade Bot + 5 Top alternatives,2025-07-28 09:32:57+00:00,medium.com,bullish,1.2,-3.28,F,0.4,0.0,Ecosystem tool development indicates growing utility adoption,182.54,https://medium.com/@moiofficial/odinbot-review-d0e5a34d7b89,"{""uuid"": ""7d21d9cb-6fd3-4677-822b-b5ca18b38ba2"", ""title"": ""OdinBot Review: Solana Copy Trade Bot + 5 Top alternatives"", ""description"": ""OdinBot is widely regarded as the premier copy-trading bot for the Solana blockchain, offering a powerful and user-friendly platform to mirror the trades of suc..."", ""keywords"": """", ""snippet"": ""OdinBot Review: Solana Copy Trade Bot + 5 Top alternatives MOI Official 11 min read \u00b7 Just now Just now -- Listen Share\n\nOdinBot is widely regarded as the prem..."", ""url"": ""https://medium.com/@moiofficial/odinbot-review-d0e5a34d7b89"", ""image_url"": ""https://miro.medium.com/v2/resize:fit:400/0*HQOQEbK9gZkZGhAy.jpg"", ""language"": ""en"", ""published_at"": ""2025-07-28T09:32:57.000000Z"", ""source"": ""medium.com"", ""categories"": [""tech"", ""science"", ""business""], ""relevance_score"": 22.321316}"
Solana Holds Above $180 Support,2025-07-27 15:26:00+00:00,coinidol.com,bullish,5.8,2.07,A+,0.7,1.0,Price breaking key resistance levels signals strong momentum,188.73,https://coinidol.com/solana-holds-above-180/,"{""uuid"": ""5cdb72dd-65e7-4e0d-b7f6-9b7c203997ac"", ""title"": ""Solana Holds Above $180 Support"", ""description"": ""The price of Solana (SOL) has risen to a high of $206 after breaking above the $184 resistance level."", ""keywords"": """", ""snippet"": ""Jul 27, 2025 at 15:26 // News\n\nCoin Idol Author\n\nThe price of Solana (SOL) has risen to a high of $206 after breaking above the $184 resistance level.\n\nAs the a..."", ""url"": ""https://coinidol.com/solana-holds-above-180/"", ""image_url"": ""https://coinidol.com/upload/resize_cache/iblock/d32/900_900_1/aqcpb32hswl13ke0kpm5jsnj8tbql4e2.jpg"", ""language"": ""en"", ""published_at"": ""2025-07-27T15:26:00.000000Z"", ""source"": ""coinidol.com"", ""categories"": [], ""relevance_score"": 24.188728}"
How Solana is quietly building the future of internet capital markets,2025-07-26 03:00:55+00:00,ambcrypto.com,bullish,3.5,-1.0,D,0.8,0.3,Long-term roadmap and major upgrades boost confidence,184.91,https://ambcrypto.com/how-solana-is-quietly-building-the-future-of-internet-capital-markets/,"{""uuid"": ""4f5e4cf2-4564-4a70-8745-f0590533f448"", ""title"": ""How Solana is quietly building the future of internet capital markets"", ""description"": ""Solana unveils its 2027 roadmap to lead internet capital markets, introducing key upgrades like ACE and DoubleZero."", ""keywords"": """", ""snippet"": ""Key takeaways\n\nSolana\u2019s 2027 roadmap targets internet capital markets via ACE, BAM, and DoubleZero upgrades, aiming to revolutionize transaction execution, re..."", ""url"": ""https://ambcrypto.com/how-solana-is-quietly-building-the-future-of-internet-capital-markets/"", ""image_url"": ""https://ambcrypto.com/wp-content/uploads/2025/07/Samyukhtha-3-2-1000x600.webp"", ""language"": ""en"", ""published_at"": ""2025-07-26T03:00:55.000000Z"", ""source"": ""ambcrypto.com"", ""categories"": [], ""relevance_score"": 22.41059}"
"Firedancer will speed up Solana, but it won’t reach full potential",2025-07-25 13:49:17+00:00,cointelegraph.com,bearish,-2.0,2.29,F,-0.6,0.0,Limitations on key scaling tech Firedancer,186.78,https://cointelegraph.com/news/firedancer-speed-solana-wont-reach-full-potential,"{""uuid"": ""b67aeb83-126e-41aa-b221-4d221cce9269"", ""title"": ""Firedancer will speed up Solana, but it won\u2019t reach full potential"", ""description"": ""Firedancer\u2019s full potential is limited on Solana but tested on Fogo, which prioritizes speed over decentralization."", ""keywords"": """", ""snippet"": ""Solana\u2019s next-generation validator client, Firedancer, may not reach full speed on the network it was built for as technical limits push developers to test it..."", ""url"": ""https://cointelegraph.com/news/firedancer-speed-solana-wont-reach-full-potential"", ""image_url"": ""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2025-07/01984170-581f-7752-9730-6a0568d00337"", ""language"": ""en"", ""published_at"": ""2025-07-25T13:49:17.000000Z"", ""source"": ""cointelegraph.com"", ""categories"": [], ""relevance_score"": 22.50442}"
Top Solana LaunchPads to Explore as a Degen,2025-07-24 19:32:47+00:00,usethebitcoin.com,bullish,1.8,-3.66,F,0.7,0.0,Launchpad success drives retail activity and fees,182.61,https://usethebitcoin.com/defi/top-solana-launchpads-to-explore-as-a-degen/,"{""uuid"": ""0e0cd8c9-8844-42f0-b62b-f24c1749343d"", ""title"": ""Top Solana LaunchPads to Explore as a Degen"", ""description"": ""Key Takeaways"", ""keywords"": """", ""snippet"": ""Key Takeaways\n\nSolana memecoin launchpads have gained much recognition following the emergence of PumpFun on the Solana network.\n\nPumpFun has generated over $1 ..."", ""url"": ""https://usethebitcoin.com/defi/top-solana-launchpads-to-explore-as-a-degen/"", ""image_url"": ""https://usethebitcoin.com/wp-content/uploads/2025/07/Solana_memecoins.png"", ""language"": ""en"", ""published_at"": ""2025-07-24T19:32:47.000000Z"", ""source"": ""usethebitcoin.com"", ""categories"": [], ""relevance_score"": 23.767555}"
MoonPay launches Solana staking as investor demand for onchain yield grows,2025-07-23 18:02:07+00:00,cointelegraph.com,bullish,2.5,-7.85,F,0.7,0.0,New institutional staking product increases yield demand,189.54,https://cointelegraph.com/news/moonpay-solana-staking-onchain-yield,"{""uuid"": ""0395d19a-4a19-41a9-8ec8-9a03f9e44ba4"", ""title"": ""MoonPay launches Solana staking as investor demand for onchain yield grows"", ""description"": ""MoonPay has introduced a new liquid staking feature for Solana, allowing users to earn yield without giving up custody. The launch comes amid growing institutio..."", ""keywords"": """", ""snippet"": ""MoonPay, a fintech company specializing in crypto payments and Web3 infrastructure, has announced a new liquid staking program for Solana holders. The product w..."", ""url"": ""https://cointelegraph.com/news/moonpay-solana-staking-onchain-yield"", ""image_url"": ""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2024-11/019347bb-2d57-7a07-94e9-4531a66feb9d"", ""language"": ""en"", ""published_at"": ""2025-07-23T18:02:07.000000Z"", ""source"": ""cointelegraph.com"", ""categories"": [], ""relevance_score"": 22.808622}"
Solana ATH,2025-07-22 13:57:57+00:00,v2ex.com,bearish,-3.0,4.95,F,-0.6,0.0,Criticism of weak DeFi ecosystem and lack of innovation,205.7,https://www.v2ex.com/t/1146977,"{""uuid"": ""9676d4b4-b689-44ca-b95e-dc382edebaa9"", ""title"": ""Solana ATH"", ""description"": ""Solana - @tousol - Solana \u7684 defi TVL \u63a5\u8fd1\u65b0\u9ad8\u4e86\u3002Solana \u7684 defi \u751f\u6001\u8fd8\u662f\u592a\u5f31\u4e86\uff0c\u53ef\u80fd\u8fd9\u4e00\u8f6e\u5c31\u88ab base \u8d85\u8d8a\u3002defi \u521b\u65b0\u504f\u5c11\uff0c\u9632\u76d8?..."", ""keywords"": """", ""snippet"": ""Solana \u7684 defi TVL \u63a5\u8fd1\u65b0\u9ad8\u4e86\u3002 Solana \u7684 defi \u751f\u6001\u8fd8\u662f\u592a\u5f31\u4e86\uff0c\u53ef\u80fd\u8fd9\u4e00\u8f6e\u5c31\u88ab base \u8d85\u8d8a\u3002 defi \u521b\u65b0\u504f\u5c11\uff0c\u9632\u76d8\u8d44\u91d1\u89c4\u6a21\u53c8\u4e0a..."", ""url"": ""https://www.v2ex.com/t/1146977"", ""image_url"": ""https://www.v2ex.com/static/icon-192.png"", ""language"": ""en"", ""published_at"": ""2025-07-22T13:57:57.000000Z"", ""source"": ""v2ex.com"", ""categories"": [], ""relevance_score"": 26.257883}"
Mercurity Fintech Secures $200 Million Strategic Investment from Solana Ventures to Accelerate Solana Treasury,2025-07-21 13:00:12+00:00,gurufocus.com,bullish,4.0,7.96,A+,0.8,1.0,$200M strategic investment from Solana Ventures boosts confidence,195.99,https://www.gurufocus.com/news/2989886/mercurity-fintech-secures-200-million-strategic-investment-from-solana-ventures-to-accelerate-solana-treasury,"{""uuid"": ""97cb4d4b-9045-4eb8-873b-9b114f6e92cd"", ""title"": ""Mercurity Fintech Secures $200 Million Strategic Investment from Solana Ventures to Accelerate Solana Treasury"", ""description"": ""Mercurity Fintech Aims to Become a Leading Institutional SOL Holder by Targeting Long-Term Value Through Staking, On-Chain Yield, and Solana-Native Innovation"", ""keywords"": ""GuruFocus, Article, News, Marketwired, MFH"", ""snippet"": ""New York, July 21, 2025 (GLOBE NEWSWIRE) -- Mercurity Fintech Holding Inc. (\u201cMFH\u201d or the \u201cCompany\u201d) ( MFH), a blockchain-powered fintech group, today an..."", ""url"": ""https://www.gurufocus.com/news/2989886/mercurity-fintech-secures-200-million-strategic-investment-from-solana-ventures-to-accelerate-solana-treasury"", ""image_url"": ""https://static.gurufocus.com/images/global_logo_twitter_card.png"", ""language"": ""en"", ""published_at"": ""2025-07-21T13:00:12.000000Z"", ""source"": ""gurufocus.com"", ""categories"": [""business""], ""relevance_score"": 24.400429}"
This Solana Segment Just Tripled in 3 Weeks. Here's What It Means For the Coin,2025-07-20 10:10:00+00:00,finance.yahoo.com,bullish,5.0,2.53,A+,0.7,1.0,New tokenized stocks attract capital to ecosystem,181.55,https://finance.yahoo.com/news/solana-segment-just-tripled-3-101000651.html,"{""uuid"": ""d6ad4c28-bc22-48e7-8ea2-64639a2acc42"", ""title"": ""This Solana Segment Just Tripled in 3 Weeks. Here's What It Means For the Coin"", ""description"": ""It's now possible to trade certain stocks on Solana's blockchain.  You don't necessarily want to be investing in these tokenized assets just yet.  Thanks in par..."", ""keywords"": ""Solana, tokenized assets"", ""snippet"": ""Key Points\n\nIt's now possible to trade certain stocks on Solana's blockchain.\n\nThat capability is attracting a lot of capital, and very quickly.\n\nYou don't nece..."", ""url"": ""https://finance.yahoo.com/news/solana-segment-just-tripled-3-101000651.html"", ""image_url"": ""https://s.yimg.com/ny/api/res/1.2/rvjYgOw6jm1Zexv7y4.QwA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTc-/https://media.zenfs.com/en/motleyfool.com/c3c14942a50d83cb9d268dfe4559463d"", ""language"": ""en"", ""published_at"": ""2025-07-20T10:10:00.000000Z"", ""source"": ""finance.yahoo.com"", ""categories"": [""business"", ""general""], ""relevance_score"": 20.392715}"
Solana Near Last Major Resistance Amid 10% Surge – Analyst Says ‘Real Bull Run’ Is Close,2025-07-19 05:30:11+00:00,newsbtc.com,bullish,10.0,-0.18,D,0.8,0.3,Breaking major resistance signals imminent bull run,177.07,https://www.newsbtc.com/news/solana-near-last-major-resistance-amid-10-surge-analyst-says-real-bull-run-is-close/,"{""uuid"": ""89442475-67c4-4b69-8ba6-d4dc7d70bec0"", ""title"": ""Solana Near Last Major Resistance Amid 10% Surge \u2013 Analyst Says \u2018Real Bull Run\u2019 Is Close"", ""description"": ""Solana (SOL) has recorded a significant rally over the past week, suggest that the altcoin will run to new highs once $180 is recovered."", ""keywords"": """", ""snippet"": ""Solana (SOL) has recorded a significant rally over the past week, reclaiming the $160 area and attempting to hold its last major resistance. Some analysts sugge..."", ""url"": ""https://www.newsbtc.com/news/solana-near-last-major-resistance-amid-10-surge-analyst-says-real-bull-run-is-close/"", ""image_url"": ""https://www.newsbtc.com/wp-content/uploads/2025/06/mike-van-den-bos-jf1EomjlQi0-unsplash.jpg?fit=1920%2C1277"", ""language"": ""en"", ""published_at"": ""2025-07-19T05:30:11.000000Z"", ""source"": ""newsbtc.com"", ""categories"": [], ""relevance_score"": 20.400963}"
